销售日期,店风格,店名,店性质,品类描述,品牌描述,所属大区,所属小区,销售额,毛利,毛利率(%)
2017-9-28,时尚馆,上长宁店,自有店,运动服装及用品,NEW BALANCE(新百伦),东南区,上海,3352,385,11.49
2017-9-28,生活馆,上五角场店,管理店,运动服装及用品,NEW BALANCE(新百伦),东南区,上海,1219,134,10.99
2017-9-28,生活馆,上浦建店,自有店,运动服装及用品,NEW BALANCE(新百伦),东南区,上海,5903,708,11.99
2017-9-28,生活馆,上宝山店,自有店,运动服装及用品,NEW BALANCE(新百伦),东南区,上海,2943,382,12.98
2017-9-28,生活馆,上成山店,自有店,运动服装及用品,NEW BALANCE(新百伦),东南区,上海,1729,311,17.99
2017-9-28,生活馆,武汉百货,自有店,钟表,ZIPPO(之宝),中西区,华中,5019,140,2.79
2017-9-28,生活馆,北京一期（百货）,自有店,家庭用品,SINOMAX(丝露梦),北方区,华北,9456,304,3.21
2017-9-28,生活馆,上宝山店,自有店,床上用品,SINOMAX(丝露梦),东南区,上海,1999,560,28.01
2017-9-28,生活馆,上成山店,自有店,床上用品,SINOMAX(丝露梦),东南区,上海,1178,389,33.02
2017-9-28,时尚馆,武淮美店,自有店,床上用品,SINOMAX(丝露梦),中西区,华中,6998,189,2.7
2017-9-28,时尚馆,武淮美店,自有店,床上用品,SINOMAX(丝露梦),中西区,华中,4229,114,2.7
2017-9-28,时尚馆,武徐东店,管理店,床上用品,SINOMAX(丝露梦),中西区,华中,1079,283,26.23
2017-9-28,时尚馆,武徐东店,管理店,床上用品,SINOMAX(丝露梦),中西区,华中,5979,156,2.61
2017-9-27,时尚馆,成都店,自有店,女士轻便服装,WHO.A.U,中西区,西南,3577,715,19.99
2017-9-27,时尚馆,成都店,自有店,女士轻便服装,WHO.A.U,中西区,西南,5279,105,1.99
2017-9-27,时尚馆,成都店,自有店,女士轻便服装,WHO.A.U,中西区,西南,1315,684,52.02
2017-9-27,生活馆,北京一期（百货）,自有店,女士上班服装,X.ZHINING,北方区,华北,1775,555,31.27
2017-9-27,时尚馆,重庆店,自有店,女士上班服装,WHO.A.U,中西区,西南,3939,591,15
2017-9-27,时尚馆,重庆店,自有店,女士上班服装,WHO.A.U,中西区,西南,2694,404,15
2017-9-27,时尚馆,重庆店,自有店,女士上班服装,WHO.A.U,中西区,西南,5071,760,14.99
2017-9-27,生活馆,上浦建店,自有店,女士_衣,O.C.T.MAMI(十月妈咪),东南区,上海,2369,639,26.97
2017-9-27,生活馆,武汉百货,自有店,女士_衣,O.C.T.MAMI(十月妈咪),中西区,华中,5499,159,2.89
2017-9-27,时尚馆,武徐东店,管理店,女士_衣,O.C.T.MAMI(十月妈咪),中西区,华中,6463,176,2.72
2017-9-27,生活馆,北京二期（百货）,自有店,女士手袋及皮件,LESPORTSAC,北方区,华北,1223,299,24.45
2017-9-27,生活馆,北京二期（百货）,自有店,女士手袋及皮件,LESPORTSAC,北方区,华北,3065,659,21.5
2017-9-27,生活馆,天新百店,自有店,女士皮鞋,HANG TEN,北方区,华北,7269,181,2.49
2017-9-27,生活馆,北京一期（百货）,自有店,女士皮鞋,HANG TEN,北方区,华北,4166,115,2.76
2017-9-27,生活馆,北京二期（百货）,自有店,女士皮鞋,HANG TEN,北方区,华北,4046,920,22.74
2017-9-27,时尚馆,北彩旋店.,自有店,女士皮鞋,HANG TEN,北方区,华北,3155,860,27.26
2017-9-27,生活馆,北利莹百_,自有店,女士皮鞋,HANG TEN,北方区,华北,3185,804,25.24
2017-9-27,时尚馆,上长宁店,自有店,女士皮鞋,HANG TEN,东南区,上海,1915,421,21.98
2017-9-27,生活馆,上浦建店,自有店,男士轻便服装,RACB JJQN,东南区,上海,9169,275,3
2017-9-27,生活馆,上成山店,自有店,男士轻便服装,RACB JJQN,东南区,上海,1399,364,26.02
